H           H                       H2                                              1.00E+00     0.00      0.0    0.99999.  0     
H3O+        SiO                     SiOH+       H2O                                 2.00E-09    -0.50      0.0   10.41000.  5 C IN
H+          SiO                     SiO+        H                                   3.30E-09    -0.50      0.0   10.41000.  5 C CE
He+         SiO                     Si+         O           He                      8.60E-10    -0.50      0.0   10.41000.  5 C IN
He+         SiO                     Si          O+          He                      8.60E-10    -0.50      0.0   10.41000.  5 C IN
HCO+        SiO                     SiOH+       CO                                  7.90E-10    -0.50      0.0   10.41000.  5 C IN
SiOH+       E-                      SiO         H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
Si          NO                      SiO         N                                   9.00E-11    -0.96     28.0   10.  300.  5 C NN
H2          SiO+                    SiOH+       H                                   3.20E-10     0.00      0.0   10.41000.  5 A IN
O           SiC                     SiO         C                                   5.00E-11     0.00      0.0   10.  300.  5 C NN
N           SiC                     Si          CN                                  5.00E-11     0.00      0.0   10.  300.  5 C NN
N           SiC                     SiN         C                                   5.00E-11     0.00      0.0   10.  300.  5 C NN
C           SiH                     SiC         H                                   6.59E-11     0.00      0.0   10.  300.  5 C NN
O           SiC2                    SiC         CO                                  4.00E-11     0.00      0.0   10.  300.  5 C NN
SiC3+       E-                      SiC         C2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
SiCH2+      E-                      SiC         H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
N           SiH                     SiN         H                                   1.66E-10    -0.09      0.0   10.  300.  5 C NN
H2          HCSi+                   SiCH2+      H                                   1.50E-09     0.00      0.0   10.  300.  5 C IN
H2          SiC+                    HCSi+       H                                   1.50E-09     0.00      0.0   10.  300.  5 C IN
H2          SiC2+                   SiC2H+      H                                   1.50E-09     0.00      0.0   10.  300.  5 C IN
C           SiCH2+                  SiC2+       H2                                  1.00E-10     0.00      0.0   10.  300.  5 C IN
O           SiNC+                   SiN+        CO                                  1.00E-10     0.00      0.0   10.41000.  5 C IN
SiNC+       E-                      Si          CN                                  3.00E-07    -0.50      0.0   10.  300.  5 C DR
H2NC+       Si                      SiNC+       H2                                  5.00E-10     0.00      0.0   10.41000.  5 C IN
HCNH+       Si                      SiNC+       H2                                  5.00E-10     0.00      0.0   10.41000.  5 C IN
O           SiN+                    SiO+        N                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
O           SiCH2+                  SiH         HCO+                                3.00E-10     0.00      0.0   10.41000.  5 C IN
N           SiCH2+                  Si+         HCN         H                       7.60E-10     0.00      0.0   10.41000.  5 C IN
O           HPO+                    O2          PH+                                 2.00E-10     0.00      0.0   10.41000.  5 C IN
HPO+        E-                      PH          O                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
O           PH+                     PO+         H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
PCH2+       E-                      CP          H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
PCH2+       E-                      HCP         H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
PC4H+       E-                      CP          C3H                                 7.50E-08    -0.50      0.0   10.  300.  5 C DR
